ID_PAI,REF,FORNECEDOR,CATEGORIA,MATERIAL,COMPOSICAO,FOTO_CAPA_ID,TITULO_SHOPEE,TITULO_ML,DESCRICAO_IA,PASTA_DRIVE_ID
THA0394COT,394,THAILU LINGERIE OLARIA,Calcinha Infantil,Cotton/Algodão 100%,,,CALCINHA INFANTIL  COTTON/ALGODÃO 100%,,"CALCINHA INFANTIL — J&F CO.
Qualidade e conforto.

SKU: THA0394COT",
THA1112COT,1112,THAILU LINGERIE OLARIA,Calcinha Infantil,Cotton/Algodão 100%,,1Cc9nlEhxUhYwqog2cok6BENdQJ9gtwBT,CALCINHA INFANTIL  COTTON/ALGODÃO 100%,,"CALCINHA INFANTIL — J&F CO.
Qualidade e conforto.

SKU: THA1112COT",1sCjCpyx0WOkbmDFbdBltakbBprAXM5K-
LEL350832POL,350832,LELUC LINGERIE - OLARIA,Calcinha,Poliamida Canelada,,12itUycW6vAy3hW8dJQa9aaHjt4Mox7TL,CALCINHA  POLIAMIDA CANELADA,,"CALCINHA — J&F CO.
Qualidade e conforto.

SKU: LEL350832POL",1wK3sfafPPoy3_73Jt7z5QyeZp8vSfJ3s
LEL350832POL,350832,LELUC LINGERIE - OLARIA,Calcinha,Poliamida Canelada,,12itUycW6vAy3hW8dJQa9aaHjt4Mox7TL,CALCINHA  POLIAMIDA CANELADA,,"CALCINHA — J&F CO.
Qualidade e conforto.

SKU: LEL350832POL",1wK3sfafPPoy3_73Jt7z5QyeZp8vSfJ3s
LEL350832POL,35-0832,LELUC LINGERIE - OLARIA,Calcinha,Poliamida Canelada,,12itUycW6vAy3hW8dJQa9aaHjt4Mox7TL,CALCINHA  POLIAMIDA CANELADA,,"CALCINHA — J&F CO.
Qualidade e conforto.

SKU: LEL350832POL",1wK3sfafPPoy3_73Jt7z5QyeZp8vSfJ3s
LEL350824POL,35-0824,LELUC LINGERIE - OLARIA,Calcinha,Poliamida lisa,,14d81-G1L5xpKSh1DihRTEkDQBiOg81Nx,CALCINHA  POLIAMIDA LISA,,"CALCINHA — J&F CO.
Qualidade e conforto.

SKU: LEL350824POL",1tunJMMbY8_G2vIJYGqNLY3v31ipGk53-
LEL138021VIS,13-8021,LELUC LINGERIE - OLARIA,Conjunto,Viscose,,1lwLBBef7eotpV0ce9Kba0nJXARjhG8Xw,CONJUNTO  VISCOSE,,"CONJUNTO — J&F CO.
Qualidade e conforto.

SKU: LEL138021VIS",1L6ch4oqftWboAm5_9NwR6z91LIAYhc4H
LEL138021VIS,13-8021,LELUC LINGERIE - OLARIA,Conjunto,Viscose,,1lwLBBef7eotpV0ce9Kba0nJXARjhG8Xw,CONJUNTO  VISCOSE,,"CONJUNTO — J&F CO.
Qualidade e conforto.

SKU: LEL138021VIS",1L6ch4oqftWboAm5_9NwR6z91LIAYhc4H
LEL001002POL,00-1002,LELUC LINGERIE - OLARIA,Body,Poliamida lisa,,1-D0kN9DGnb_E_T2UpwtJbLE1k7ffTmxe,BODY  POLIAMIDA LISA,,"BODY — J&F CO.
Qualidade e conforto.

SKU: LEL001002POL",1TYc6IJs4BBBItZejvVR6Y722SzohGh-m
LEL001002POL,00-1002,LELUC LINGERIE - OLARIA,Body,Poliamida lisa,,1-D0kN9DGnb_E_T2UpwtJbLE1k7ffTmxe,BODY  POLIAMIDA LISA,,"BODY — J&F CO.
Qualidade e conforto.

SKU: LEL001002POL",1TYc6IJs4BBBItZejvVR6Y722SzohGh-m
LEL001002POL,00-1002,LELUC LINGERIE - OLARIA,Body,Poliamida lisa,,1-D0kN9DGnb_E_T2UpwtJbLE1k7ffTmxe,BODY  POLIAMIDA LISA,,"BODY — J&F CO.
Qualidade e conforto.

SKU: LEL001002POL",1TYc6IJs4BBBItZejvVR6Y722SzohGh-m
ALU12POL,12,ALUP LINGERIE,Topper,Poliamida lisa,,1Otq8D6jUXtADkC6lNey-1rrjwATvuEvf,TOPPER  POLIAMIDA LISA,,"TOPPER — J&F CO.
Qualidade e conforto.

SKU: ALU12POL",1VQMWkRb7pz0MvZBPMvJgIhSM5cLYNPFG
ALU12POL,12,ALUP LINGERIE,Topper,Poliester,,1Otq8D6jUXtADkC6lNey-1rrjwATvuEvf,TOPPER  POLIESTER,,"TOPPER — J&F CO.
Qualidade e conforto.

SKU: ALU12POL",1VQMWkRb7pz0MvZBPMvJgIhSM5cLYNPFG
ALU63POL,63,ALUP LINGERIE,Sutiã,Poliamida lisa,,1mIcL2V1TAqNhORTqMf8j3yB9VNxZ60uu,SUTIÃ  POLIAMIDA LISA,,"SUTIÃ — J&F CO.
Qualidade e conforto.

SKU: ALU63POL",1swhTBD8uyn-WEeuDu3l4hSsEXW4edJaI
ALU118POL,118,ALUP LINGERIE,Conjunto,Poliamida lisa,,12ZGYE3TNEDbL0LJnZj548U_Uio_nw5bE,CONJUNTO  POLIAMIDA LISA,,"CONJUNTO — J&F CO.
Qualidade e conforto.

SKU: ALU118POL",14-d4Vg7dI7U6JzjCt39XGTLPNsQ1KL6g
ALU221POL,221,ALUP LINGERIE,Calcinha,Poliamida Renda,,1xZhY3uhTp_8Oy5PA2ekhRwjXnEIHno9J,CALCINHA  POLIAMIDA RENDA,,"CALCINHA — J&F CO.
Qualidade e conforto.

SKU: ALU221POL",1FWWj5rkseyr8KDu2HGpt7urXAa72EyJJ
ALU223POL,223,ALUP LINGERIE,Calcinha,Poliamida lisa,,1Mxta9SG4U4QnC1lj1CL7W5mAjSVcNz2n,CALCINHA  POLIAMIDA LISA,,"CALCINHA — J&F CO.
Qualidade e conforto.

SKU: ALU223POL",1DTSCcC9fR-3fppBpRzawYQnxaedfg0dK
ALU196POL,196,ALUP LINGERIE,Calcinha,Poliamida lisa,,1CaXwYqAOY2Ek5eaIDZKMghTDYbM-U7Zt,CALCINHA  POLIAMIDA LISA,,"CALCINHA — J&F CO.
Qualidade e conforto.

SKU: ALU196POL",1sr759CKqnp3RZI388vE0J_9NXziLCg7_
ALU196POL,196,ALUP LINGERIE,Calcinha,Poliamida lisa,,1CaXwYqAOY2Ek5eaIDZKMghTDYbM-U7Zt,ALUP LINGERIE 196,,"Produto J&F Co. - Qualidade garantida.

SKU: ALU196POL",1sr759CKqnp3RZI388vE0J_9NXziLCg7_
ALU196POL,196,ALUP LINGERIE,Calcinha,Poliamida lisa,,1CaXwYqAOY2Ek5eaIDZKMghTDYbM-U7Zt,ALUP LINGERIE 196,,"Produto J&F Co. - Qualidade garantida.

SKU: ALU196POL",1sr759CKqnp3RZI388vE0J_9NXziLCg7_
ALU196POL,196,ALUP LINGERIE,Calcinha,Poliamida lisa,,1CaXwYqAOY2Ek5eaIDZKMghTDYbM-U7Zt,ALUP LINGERIE 196,,"Produto J&F Co. - Qualidade garantida.

SKU: ALU196POL",1sr759CKqnp3RZI388vE0J_9NXziLCg7_
ALU117POL,117,ALUP LINGERIE,Calcinha Infantil,Poliester,,1Dkzc6Z1n11PFrCqP-pUKWac2azhfGdNI,ALUP LINGERIE 117,,"Produto J&F Co. - Qualidade garantida.

SKU: ALU117POL",16NXnoShUlPXqE22AYIDFAW7IVfbfXWpy
ALU117POL,117,ALUP LINGERIE,Calcinha Infantil,Poliester,,1Dkzc6Z1n11PFrCqP-pUKWac2azhfGdNI,ALUP LINGERIE 117,,"Produto J&F Co. - Qualidade garantida.

SKU: ALU117POL",16NXnoShUlPXqE22AYIDFAW7IVfbfXWpy
ALU117POL,117,ALUP LINGERIE,Calcinha Infantil,Poliester,,1Dkzc6Z1n11PFrCqP-pUKWac2azhfGdNI,ALUP LINGERIE 117,,"Produto J&F Co. - Qualidade garantida.

SKU: ALU117POL",16NXnoShUlPXqE22AYIDFAW7IVfbfXWpy
ALU65POL,65,ALUP LINGERIE,Sutiã Amamentação,Poliamida lisa,,1u2HLphrudDrSHmGWzo0ltY6DZoLXIUa5,ALUP LINGERIE 65,,"Produto J&F Co. - Qualidade garantida.

SKU: ALU65POL",1MS090hKRkuedK7pR4s1CgH1QISsDx4MT
ALU65POL,65,ALUP LINGERIE,Sutiã Amamentação,Poliamida lisa,,1u2HLphrudDrSHmGWzo0ltY6DZoLXIUa5,ALUP LINGERIE 65,,"Produto J&F Co. - Qualidade garantida.

SKU: ALU65POL",1MS090hKRkuedK7pR4s1CgH1QISsDx4MT
ALU65POL,65,ALUP LINGERIE,Sutiã Amamentação,Poliamida lisa,,1u2HLphrudDrSHmGWzo0ltY6DZoLXIUa5,ALUP LINGERIE 65,,"Produto J&F Co. - Qualidade garantida.

SKU: ALU65POL",1MS090hKRkuedK7pR4s1CgH1QISsDx4MT
ALU01POL,1,ALUP LINGERIE,Calcinha,Poliamida lisa,,1R1jFw6pu0Tzj-kKkS5I0JSfG6O_816kf,ALUP LINGERIE 01,,"Produto J&F Co. - Qualidade garantida.

SKU: ALU01POL",1OCt-A_vhx0PFbZFPW4nPNRJshhrB6SQU
ALU01POL,1,ALUP LINGERIE,Calcinha,Poliamida lisa,,1R1jFw6pu0Tzj-kKkS5I0JSfG6O_816kf,ALUP LINGERIE 01,,"Produto J&F Co. - Qualidade garantida.

SKU: ALU01POL",1OCt-A_vhx0PFbZFPW4nPNRJshhrB6SQU
ALU01POL,1,ALUP LINGERIE,Calcinha,Poliamida lisa,,1R1jFw6pu0Tzj-kKkS5I0JSfG6O_816kf,ALUP LINGERIE 01,,"Produto J&F Co. - Qualidade garantida.

SKU: ALU01POL",1OCt-A_vhx0PFbZFPW4nPNRJshhrB6SQU
ALU01POL,1,ALUP LINGERIE,Calcinha,Poliamida lisa,,1R1jFw6pu0Tzj-kKkS5I0JSfG6O_816kf,ALUP LINGERIE 01,,"Produto J&F Co. - Qualidade garantida.

SKU: ALU01POL",1OCt-A_vhx0PFbZFPW4nPNRJshhrB6SQU
ALU224POL,224,ALUP LINGERIE,Calcinha,Poliamida lisa,,1-AhDUGdraqaTKKs4yzYXRtzGidg8UMd0,ALUP LINGERIE 224,,"Produto J&F Co. - Qualidade garantida.

SKU: ALU224POL",1kMkojB4BLmcUfs1bLDK0jgUdElsCKwgP
ALU224POL,224,ALUP LINGERIE,Calcinha,Poliamida lisa,,1-AhDUGdraqaTKKs4yzYXRtzGidg8UMd0,ALUP LINGERIE 224,,"Produto J&F Co. - Qualidade garantida.

SKU: ALU224POL",1kMkojB4BLmcUfs1bLDK0jgUdElsCKwgP
ALU224POL,224,ALUP LINGERIE,Calcinha,Poliamida lisa,,1-AhDUGdraqaTKKs4yzYXRtzGidg8UMd0,ALUP LINGERIE 224,,"Produto J&F Co. - Qualidade garantida.

SKU: ALU224POL",1kMkojB4BLmcUfs1bLDK0jgUdElsCKwgP
ALU224POL,224,ALUP LINGERIE,Calcinha,Poliamida lisa,,1-AhDUGdraqaTKKs4yzYXRtzGidg8UMd0,ALUP LINGERIE 224,,"Produto J&F Co. - Qualidade garantida.

SKU: ALU224POL",1kMkojB4BLmcUfs1bLDK0jgUdElsCKwgP
ALU224POL,224,ALUP LINGERIE,Calcinha,Poliamida lisa,,1-AhDUGdraqaTKKs4yzYXRtzGidg8UMd0,ALUP LINGERIE 224,,"Produto J&F Co. - Qualidade garantida.

SKU: ALU224POL",1kMkojB4BLmcUfs1bLDK0jgUdElsCKwgP
ALU134POL,134,ALUP LINGERIE,Calcinha,Poliamida lisa,,11dhVAJt8Ns_cCw_vft777ALNh-RXASEK,ALUP LINGERIE 134,,"Produto J&F Co. - Qualidade garantida.

SKU: ALU134POL",190dcZOftriIqtDjjVSv5FyXqD-WgI5r_
ALU134POL,134,ALUP LINGERIE,Calcinha,Poliamida lisa,,11dhVAJt8Ns_cCw_vft777ALNh-RXASEK,ALUP LINGERIE 134,,"Produto J&F Co. - Qualidade garantida.

SKU: ALU134POL",190dcZOftriIqtDjjVSv5FyXqD-WgI5r_
ALU134POL,134,ALUP LINGERIE,Calcinha,Poliamida lisa,,11dhVAJt8Ns_cCw_vft777ALNh-RXASEK,ALUP LINGERIE 134,,"Produto J&F Co. - Qualidade garantida.

SKU: ALU134POL",190dcZOftriIqtDjjVSv5FyXqD-WgI5r_
LEL370079ALG,37-0079,LELUC LINGERIE - OLARIA,Cinta,Algodão com Elastano,,1241IbogQ0TFRWr_Zq_vLKy7_l2QCZiCC,LELUC LINGERIE - OLARIA 37-0079,,"Produto J&F Co. - Qualidade garantida.

SKU: LEL370079ALG",1OCt-A_vhx0PFbZFPW4nPNRJshhrB6SQU
LEL600015ALG,60-0015,LELUC LINGERIE - OLARIA,Calcinha,Algodão com Elastano,,1WVws-Vjchpt8ELkqMJp0-AlQaAmJ_Ajc,LELUC LINGERIE - OLARIA 60-0015,,"Produto J&F Co. - Qualidade garantida.

SKU: LEL600015ALG",1ud49Vblqe_lHEF3KrrG_AmSZUeLZhnaw
LEL600025ALG,60-0025,LELUC LINGERIE - OLARIA,Calcinha,Algodão com Elastano,,1_avNJvyCx5iJlkaPRgCkY3htu59pH5m4,LELUC LINGERIE - OLARIA 60-0025,,"Produto J&F Co. - Qualidade garantida.

SKU: LEL600025ALG",1RNwSjBOhOwqi-DOZSdll67RhnLqyvIU1
LEL340438VIS,34-0438,LELUC LINGERIE - OLARIA,Calcinha,Viscose,,1oJYoJNA-pOdA-xrk0qe3qDY4syhiCC1h,LELUC LINGERIE - OLARIA 34-0438,,"Produto J&F Co. - Qualidade garantida.

SKU: LEL340438VIS",1wTiBeF0mUx0IUBretbBQ9XivzF4O4tnS
